playlist_url,year,track_id,track_name,track_popularity,album,artist_id,artist_name,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,4Mdw361yPWmE5VY39WaIpN,小鹿乱撞,42,,78EWtfjj7daNa4FrTSPQsD,"Ryan.B, 狄迪","['chinese r&b', 'c-pop', 'mandopop', 'chinese hip hop']",58,,,,,,,,,,,,,
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,3k9Kcgik0E1vsYetXmDI8O,做我女朋友,33,,3bR9hdt43MLPaZc6GBdt3i,"吴海啸, 杨科","['chinese r&b', 'c-pop', 'chinese hip hop']",15,,,,,,,,,,,,,
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,3brT1tq6HG4U05fUxoHoXG,小海灘,2,,32lrEgDlSQ0p6KLJckSvXd,thehopend,"['chinese r&b', 'chinese hip hop', 'chinese indie', 'taiwanese pop', 'mandopop']",43,,,,,,,,,,,,,
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,3qetN25YyzZ0d49VJvQxh3,一分钟恋人 - 心跳加速版,30,,5qlx1DAdpjiAqMK8m5ijFN,很美味,"['chinese r&b', 'c-pop']",40,,,,,,,,,,,,,
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,4fqXyuUiroC1rzmFXIAnoc,十二月的秘密,42,,64nI5pSqRJfBxDaJ5GRoy3,陈默之,"['chinese r&b', 'mandopop', 'c-pop']",44,,,,,,,,,,,,,
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,6us212S3fCRIQwOwNExqLH,愛我的時候,64,,5fEQLwq1BWWQNR8GzhOIvi,"Eric Chou, 單依純","['mandopop', 'c-pop', 'taiwanese pop', 'chinese r&b']",66,,,,,,,,,,,,,
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,1FlpplhWTy9ggovOGVTJ6K,續寫 - 電視劇《一生一世》主題曲,16,,7rXM91kSsqGzvYANukdQJD,單依純,"['mandopop', 'c-pop', 'chinese r&b', 'gufeng']",60,,,,,,,,,,,,,
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,2afwRzNiZPHOw4FawJTtlV,永不失联的爱 - Live,57,,7rXM91kSsqGzvYANukdQJD,單依純,"['mandopop', 'c-pop', 'chinese r&b', 'gufeng']",60,,,,,,,,,,,,,
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,7vlCdxLVwaV6wBPFwcFXXK,天下,34,,7mJv2vnmyEbD8eyI7tMLKs,于冬然,"['mandopop', 'c-pop']",54,,,,,,,,,,,,,
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,2XT8IQUW3S9vyYKauILhoP,等十三月,20,,4oQGmrHWAmY559x42Q3RYp,陈小满,"['gufeng', 'c-pop', 'mandopop']",42,,,,,,,,,,,,,
